가맹점명,소재지도로명주소,카테고리,메뉴
이우,서울특별시 광진구 아차산로33길 49 2층,패션,
이월오일,서울특별시 광진구 뚝섬로52라길 39 1층,"카페,디저트",
이윤선쿠킹스튜디오,서울특별시 광진구 면목로7길 46 1층 101호(중곡동),"도시락,컵밥","정성 도시락: (예시 사진) 밥과 국이 포함되어 나오는 도시락입니다. 메뉴는 정기적으로 변경됩니다; 정찬 도시락: (예시사진) 밥과 국이 포함된 도시락입니다. 메뉴는 정기적으로 변경됩니다.; 프리미엄 도시락: (예시사진) 밥과 국이 포함되어 나오는 도시락입니다. 메뉴는 정기적으로 변경됩니다.; 푸드박스 맞춤 도시락: 4만원~ 이상의 맞춤 도시락입니다, 드시는분/ 날짜 /원하시는메뉴 등을 상담을 통해 자세히 알려주시면 맛있는 맞춤 도시락을 배달해드립니다.; 케이터링: 상담을 통해 날짜,컨셉,인원 등을 알려주시고 메뉴설정이 끝나면 원하시는 날짜에 맞춰 케이터링을 진행합니다.; 박스케이터링: 홈파티나 가족모임 회사에서의 자그마한 회식까지 어디든 잘어울리는 박스케이터링입니다. 받으시는 날짜와 인원 등을 상담후 메뉴설정후 시간맞춰 배달해드립니다.; 생수 500ml: 500원"
이이요,서울특별시 광진구 능동로32길 6 1층 (능동),일식당,"스페셜A 카이센동: 38,000원; 이이요 연어마끼: 19,500원; 야끼돈부리: 17,000원; 고등어봉초밥1줄: 25,000원; 찐전복+홍새우+연어덮밥: 26,000원; 이이요마끼: 12,000원; 게살크림고로케: 9,000원; 시메사바: 24,000원; 회덮밥: 15,000원; 도미연어덮밥: 18,000원; 모둠사시미 2인: 43,000원; 스끼야끼나베: 25,000원; 연어샐러드: 23,000원; 타코와사비: 8,000원; 가지와아게다시도후: 10,000원"
이조우렁추어탕,서울특별시 광진구 자양로 277 .,,
이찌방이야기(군자점),서울특별시 광진구 군자로 172 1층,이자카야,"새로 살구: 5,000원; 진로 골드: 5,000원; 소고기나베: 샤브샤브인가 전골인가 안녕하세요^^ 소고기나베 입니다!; 돈까스치즈떡볶이: 떡볶이 포기못하는 여자 , 돈까스 포기못하는 남자(feat.모짜렐라); 소고기버섯전골: 소고기 와 버섯의 환상적인 만남 칼칼함의 극치 !; 얼큰해물짬뽕탕: 해물과 야채를 볶아 육수를 내어 얼큰하게 만든 짬뽕!; 살치살타다끼: 맛과 바른가격 둘 다 잡은 타다끼! 특제 소스와의 조화로운 맛이 일품!; 호구마스틱: 호박고구마 호박고구마!!!!!! 나도 알어 호박고구마; 닭껍질튀김: 맵찔이들도 맛있게 먹을수있는 한번 맛 보면 손이 안멈춤 멈출수있는건 술뿐이다...; 달콤토마토: 똑바로해도 거꾸로해도 토마토~ㅋㅋ; 아이스황도: 모히또 가서 몰디브 한잔 할거같은 비쥬얼><; 아이스파인샤베트: 파인샤베트는 살안찐데여... 어떤 할머니가...; 용과샤베트: 새콤달콤 간지 좔좔 흐르느 용과샤베트!; 먹태: 먹태 난 너를 잊지 못태 (사장센스 ㅈㅅ;;;); 쥐포튀김: 5,900원"
이차돌 건대점,서울특별시 광진구 동일로24길 101 1층,,
이치로,서울특별시 광진구 자양로28길 18 1층2호,"초밥,롤",
이치방덮밥,서울특별시 광진구 광나루로 361 지하1층제비101호주방12호,일본식라면,"돈코츠라멘: 8,000원; 카라이라멘: 8,500원; 니보시라멘: 8,500원; 냉소바: 8,000원; 치킨가라아게: 5,500원; 에비후라이: 5,500원; 고로케: 5,500원; 차슈동: 8,500원; 연어덮밥: 9,000원; 가츠동: 8,000원; 김치치즈가츠동: 9,000원; 치킨가라아게동: 8,500원; 믹스동: 9,500원; 교자: 4,000원"
이타리아공치킨,서울특별시 광진구 군자로 84-1 (군자동),"치킨,닭강정","후라이드: 12,000원; 양념: 13,000원; 팬바베큐: 15,000원; 스모크바베큐: 13,000원; 세라믹바베큐: 13,000원"
이모네,서울특별시 광진구 광나루로56길 5 지층 121호 (구의동 현대프라임아파트),요리주점,후라이드치킨: 바삭바삭한 후라이드 치킨; 닭볶음탕: 매콤한 닭볶음탕
이모네 돌솥밥,서울특별시 광진구 긴고랑로 96 1층 (중곡동),한식,"동태찌개(2인): 18,000원"
이모네김밥,서울특별시 광진구 뚝섬로30길 17 1층,김밥,"야채김밥: 2,000원; 참치김밥: 3,000원; 치즈김밥: 3,000원; 소고기김밥: 4,000원; 라면: 3,000원"
이모네막창집,서울특별시 광진구 광나루로37길 7 .,"곱창,막창,양",
이모네먹거리,서울특별시 광진구 뚝섬로55길 12 1층 (자양동),한식,
이모네보쌈,서울특별시 광진구 자양로9길 73 1층 (자양동),"족발,보쌈","굴보쌈 소: 25,000원; 고기보쌈 소: 23,000원; 고기보쌈 중: 28,000원; 고기보쌈 대: 33,000원; 감자탕 소: 20,000원; 감자탕 중: 25,000원; 낙지볶음 소: 20,000원; 낙지볶음 중: 25,000원; 낙지볶음 대: 30,000원; 굴보쌈 중: 30,000원; 굴보쌈 대: 35,000원; 고기추가: 10,000원; 굴추가: 10,000원"
이모네식당,서울특별시 광진구 뚝섬로 590 1층(자양동),정육식당,"한우암소모듬: 65,000원; 특수부위모듬: 79,000원; 꽃등심: 23,500원"
이백,서울특별시 광진구 아차산로78길 175 (광장동),한식,"육문골연: 한우육회, 피문어숙회, 백골뱅이숙회, 연어사시미 세트"
이백십도씨,서울특별시 광진구 능동로13길 34 2층 (화양동),,
이브,서울특별시 광진구 구의로 62 1층 (구의동),"피부,체형관리",
이비푸드(EB Food)우동연가,서울특별시 광진구 능동로19길 27 화양동 1층,,
이삐케이크(Yippee cake),서울특별시 광진구 긴고랑로7길 64 1층(중곡동),케이크전문,도시락케이크: 간단한 그림으로 제작 가능합니다; 미니 케이크(1~2인): 모든 디자인 가능합니다.; 1호 케이크 (2~4인): 모든 디자인 가능합니다.; 2호 케이크(4~6인): 모든 디자인 가능합니다.; 입체케이크: 모든 디자인 가능합니다.; 티아라케이크: 미니 사이즈부터 가능합니다.; 어버이날 케이크: 가격 안내는 카카오채널에 나와있습니다!; 하프케이크: 다양한 모양으로 가능합니다
이사장푸드,서울특별시 광진구 용마산로3길 38 1층 101호,한식,
이삭,서울특별시 광진구 면목로 170 1층(중곡동),토스트,
이삭,서울특별시 광진구 자양로3길 59 (자양동),토스트,
이삭토스트,서울특별시 광진구 능동로13길 21 (화양동),토스트,
이삭토스트,서울특별시 광진구 아차산로30길 8,토스트,
이삭토스트,서울특별시 광진구 광장로 47 1층 (광장동),토스트,
이삭토스트,서울특별시 광진구 군자로 107-1 (군자동),토스트,
이삭토스트,서울특별시 광진구 광나루로24길 22 1층 (화양동),토스트,
이삭토스트 자양3동점,서울특별시 광진구 뚝섬로 552 111호(자양동 삼희빌딩),토스트,
이삭토스트 자양사거리점,서울특별시 광진구 자양로 93 1층,토스트,
이삭토스트동서울터미널점,서울특별시 광진구 강변역로4길 10 101호,토스트,
이삭홍두깨칼국수,서울특별시 광진구 동일로72길 51 1층,"칼국수,만두","손칼국수: 4,500원; 손칼제비: 4,500원; 손수제비: 4,500원; 칼만두: 5,500원; 어묵칼국수: 5,500원; 떡만두국: 5,500원; 만두: 3,000원; 검은콩국수: 6,500원; 비빔냉면: 5,500원; 물냉면: 5,500원; 들깨칼국수: 6,500원; 감자전/김치전: 6,000원; 비빔국수: 5,500원; 냉칼국수: 6,500원; 겉절이 1kg: 변동"
이삭홍두께칼국수,서울특별시 광진구 동일로72길 51 1층,"칼국수,만두","손칼국수: 4,500원; 손칼제비: 4,500원; 손수제비: 4,500원; 칼만두: 5,500원; 어묵칼국수: 5,500원; 떡만두국: 5,500원; 만두: 3,000원; 검은콩국수: 6,500원; 비빔냉면: 5,500원; 물냉면: 5,500원; 들깨칼국수: 6,500원; 감자전/김치전: 6,000원; 비빔국수: 5,500원; 냉칼국수: 6,500원; 겉절이 1kg: 변동"
이마트24 자양우성점,서울특별시 광진구 능동로10길 109 1층 (자양동),편의점,
이마트24 자양중한점,서울특별시 광진구 동일로18길 107 101 102호,,
이마트24 자양한강점,서울특별시 광진구 자양번영로 11 1층 104호 105호 (자양동),편의점,
이마트24 자양한양점,서울특별시 광진구 뚝섬로50길 16 1층,,
이마트24 장로회신학대점,서울특별시 광진구 광장로5길 25-1 1층,편의점,
이마트24 중곡면목로점,서울특별시 광진구 면목로 136-1 1층 우측2칸,편의점,
이마트24 중곡아차산점,서울특별시 광진구 영화사로3가길 25 1층,편의점,
이마트24 중곡용마로점,서울특별시 광진구 용마산로 183 1층,편의점,
이마트24 중곡하나점,서울특별시 광진구 동일로70길 53 1층 102호,편의점,
이마트24 한강수영장 뚝섬점,서울특별시 광진구 자양로 112 .,편의점,
이마트24 호반중한점,서울특별시 광진구 능동로 69 1층 104호 105호 일부,편의점,
이마트24 화양행운점,서울특별시 광진구 군자로 18 1층 (화양동),,
이마트24R건국대레이크홀,서울특별시 광진구 능동로 120 기숙사레이크홀,편의점,
이마트24군자CGV,서울특별시 광진구 능동로 285 (군자동),편의점,
이마트24자양우성점,서울특별시 광진구 능동로10길 109 1층,편의점,
이마트24중곡하나점,서울특별시 광진구 동일로70길 53 1층 102호,편의점,
이마트24 광나루역점,서울특별시 광진구 천호대로 808 107호,편의점,
이마트24 광진구민체육센터점,서울특별시 광진구 구천면로 14 2층,편의점,
이마트24 광진구의점,서울특별시 광진구 자양로 144 1층,편의점,
이마트24 광진리버사이드점,서울특별시 광진구 아차산로78길 44지하1층3호,,
이마트24 광진삼성쉐르빌점,서울특별시 광진구 구의강변로 106 113호,편의점,
이마트24 광진워커힐점,서울특별시 광진구 아차산로 633 지하1층,편의점,
이마트24 광진코지웰점,서울특별시 광진구 능동로19길 35 지하1층,편의점,
이마트24 광진코지웰점,서울특별시 광진구 능동로19길 35 능동로 B102호 19길주상복합 (화양동),편의점,
이마트24 광진클래식점,서울특별시 광진구 능동로 90 지층 102호,편의점,
이마트24 광진프라임점,서울특별시 광진구 동일로 92-1 1층,편의점,
이마트24 광진화양점,서울특별시 광진구 아차산로25길 77 (화양동),편의점,
이마트24 광진화양점,서울특별시 광진구 아차산로25길 77 (화양동),편의점,
이마트24 구의강변점,서울특별시 광진구 구의강변로 64 1층108호(구의아크로리버),편의점,
이마트24 구의르네점,서울특별시 광진구 광나루로39길 7 1층 101호,편의점,
이마트24 구의사거리점,서울특별시 광진구 자양로 211 101호,편의점,
이마트24 군자CGV,서울특별시 광진구 능동로 285 군자동,편의점,
이마트24 능동점,서울특별시 광진구 천호대로122길 33 1층 1호 (능동),편의점,
이마트24 능동점,서울특별시 광진구 천호대로122길 33 1층 1호,편의점,
이마트24 서울어린이대공원 정문점,서울특별시 광진구 능동로 216 서울어린이대공원 내,편의점,
이마트24 세종대광개토관점,서울특별시 광진구 능동로 209 광개토관 B10호 (군자동 세종대학교),편의점,
이마트24 세종대기숙사점,서울특별시 광진구 군자로 121 지하1층,편의점,
이마트24 세종대율곡관점,서울특별시 광진구 능동로 209 지하1층 B105호,편의점,
이마트24 세종대후문점,서울특별시 광진구 군자로 133 1층,편의점,
이마트24 자양스타점,서울특별시 광진구 자양로13길 47 1층,편의점,
진성가야지,서울특별시 광진구 능동로16길 42 1층 (화양동),한식,"묵은지삼겹살(칠레산): 해남 묵은지와 삼겹살의 만남! 된장찌개,공기밥,버섯은 추가로 시켜드시면 됩니당~!; 제육볶음 2인 세트: 밥 밑반찬 무한리필~ 뚝배기 된장찌개 서비스~ (2인분부터 뚝배기 서비스); 김치 제육덮밥: 김치가 들어간 제육볶음이 올라간 덮밥! 매일 바뀌는 반찬과 국 제공됩니다!; 김치볶음밥: 언제 먹어도 맛있는 김치볶음밥! 매일 바뀌는 반찬과 국 제공됩니다!; 비빔밥: 5가지 신선한 나물이 들어간 비빔밥! 매일 바뀌는 반찬과 국 제공됩니다!; 제육 돌솥비빔밥: 돌솥비빔밥에 제육이 추가된 메뉴! 매일 바뀌는 반찬과 국 제공됩니다! 밥, 반찬 무한리필; 냉면: 언제 먹어도 시원한 냉면! 곱배기는 2000원 추가 됩니당~!!; 콩국수: 여름에 드시면 맛있는! 구수한 콩국물에 쫄깃한 면발! 곱배기는 2000원 추가됩니당~!!"
미식가의1인찜닭1인닭도리,서울특별시 광진구 동일로 226 1층(청운빌딩공사),한식,
미식광진 본관,서울특별시 광진구 광나루로 584 동서울빌딩 1층,한식,"광진 투뿔불고기(2인분): 투뿔++암소 한우에 비법양념으로 남녀노소 좋아하는 서울식 불고기; 미식 도마제육: 1등급 한돈 삼겹살로 정성스레 삶아낸 제주도식 제육 (보쌈); 광진반상(일일 한정 판매): 조선시대의 반상문화를 재현하여 식사와 선식, 수육, 계절음식 등으로 차려냅니다.; 특선식사: 대표메뉴인 냉면과 제육을 함께 즐길 수 있는 점심 한정 특선 메뉴; 미식광진면: 고추기름콩장 특제 비법소스를 더한 미식광진의 시그니처 장비빔면; 전통 골동면: 각종 나물과 들기름, 간장으로 비벼낸 고유의 전통 비빔면; 평양냉면: 한우 양지와 사태로 육수를 낸 순수 평양식 메밀냉면; 광set(5~6인 추천): 불고기(3인분)+도마제육(한판)+수육더덕무침+왕만두+전복김치2+냉면4(평양/비빔 선택); 진set(4~5인 추천): 불고기(3인분)+도마제육(한판)+수육더덕무침+왕만두+전복김치; 미set(3~4인 추천): 불고기(2인분)+도마제육(한판)+수육더덕무침+전복김치; 만둣국: 담백한 이북식 왕만두에 한우 육수를 더한 만둣국 (밥 별도); 한우곰탕: 한우 양지와 사태로 끓여낸 고기 가득 맑은 곰탕; 전복김치: 좋은 재료로 잘 담아낸 조금 특별한 전복김치; 왕만두: 담백한 이북식 왕만두; 수육더덕무침: 한우 수육에 향긋한 더덕을 새콤달콤하게 무쳐낸 술안주"
미식반점,서울특별시 광진구 군자로 70 나동 107호,중식당,"짜장면: 돼지고기와 양파를 춘장과 함께 볶아낸 정통 짜장면; 고기짬뽕: 돼지고기와 숙주가 올라간 진한 불맛이 매력적인 교동식 고기짬뽕; 탕수육: (中) 25,000원 (大) 32,000원 새콤 달콤한 소스가 올라간 정통식 탕수육; 중화특밥: 각종 해산물과 야채를 중화미식 특제소스에 볶아 맛을 낸 덮밥; 특면: 각종 해산물과 야채를 중화미식 특제소스에 볶아 맛을 낸 특면; 찹쌀탕수육: (中) 28,000원 (大) 35,000원 돼지 등심을 바삭하고 촉촉하게 튀겨 특제소스; 깐풍기: (中) 29,000원 (大) 36,000원 닭고기를 튀겨서 깐풍소스에 볶아낸 요리; 라조기: 바삭하게 튀긴 닭고기에 매콤한 소스를 묻혀 볶아낸 요리; 삼선짬뽕탕: 신선한 해산물이 가득한 술안주로 제격인 매콤 칼칼한 짬뽕탕 (면사리 추가 별도); 삼선짬뽕: 신선한 해산물과 야채가 푸짐하게 들어가 국물이 시원한 해물짬뽕; 쟁반짜장: 해산물이 들어간 약간 매콤한 1인 쟁반짜장; 잡탕밥: 왕새우와 해삼, 각종 야채와 해산물이 들어가는 중화미식의 근본 메뉴; 야채볶음밥: 즉석에서 볶아내어 불향이 입혀진 짜장 소스와 곁들여먹는 볶음밥; 사천탕수육: (中) 28,000원 (大) 35,000원 매콤 달콤한 소스에 볶아낸 탕수육; 칠리새우: (中) 29,000 (大) 36,000 바삭하게 튀긴 중새우를 칠리소스와 함께 볶아낸 요리"
미아리우동집,서울특별시 광진구 천호대로 677 102호,"우동,소바","야채김밥: 3,500원; 비빔밥: 8,000원; 우동: 6,000원; 새우만두: 4,000원; 콩국수: 8,500원; 어묵우동: 7,500원; 김밥: 3,500원; 참치김밥: 4,500원; 매운소고기김밥: 4,500원; 얼큰우동: 7,000원; 쫄면: 7,000원; 잔치국수: 7,000원; 비빔국수: 7,000원; 열무국수: 7,500원"
미아리우동집,서울특별시 광진구 아차산로29길 67 1층(화양동),"우동,소바","야채김밥: 3,500원; 비빔밥: 8,000원; 우동: 6,000원; 새우만두: 4,000원; 콩국수: 8,500원; 어묵우동: 7,500원; 김밥: 3,500원; 참치김밥: 4,500원; 매운소고기김밥: 4,500원; 얼큰우동: 7,000원; 쫄면: 7,000원; 잔치국수: 7,000원; 비빔국수: 7,000원; 열무국수: 7,500원"
미예한식,서울특별시 광진구 광나루로56길 29 지하1층 116호 117호 (구의동 프라임 프라자상가),한식,"오늘의 집밥: 정갈하고 맛있는 밥 한술, 술 한잔을 추구하는 미예한식입니다. 내 가족이 먹는다는 마음으로 정성스럽게 만들겠습니다."
경복궁,서울특별시 광진구 광나루로56길 85 테크노-마트21 9층19 20호,궁궐,
미스터용차이나버거 건대점,서울특별시 광진구 동일로20길 72 1층,중식당,
미스터피자,서울특별시 광진구 자양로 291-1 (구의동),피자,
미식가 참치,서울특별시 광진구 뚝섬로 669 1층,생선회,"혼술 골드: 참다랑어중뱃살 포함 22p -포장배달메뉴- (홀 메뉴 별도); 혼술 vip: 참다랑어배꼽살,대뱃살,중뱃살,특수부위포함 22p -포장배달메뉴- (홀 메뉴 별도); 미식가참치: 참다랑어대뱃살.특수부위 포함 35p/55p -포장배달메뉴- (홀 메뉴 별도); 럭셔리한판: 참다랑어배꼽살,대뱃살,중뱃살,특수부위 포함 35p/55p -포장배달메뉴- (홀 메뉴 별도); 혼마구로 한판: 혼마구로 배꼽.뱃살.특수부위로만 구성 35p/55p -포장배달메뉴- (홀 메뉴 별도)"
옥이네수산,서울특별시 광진구 자양로50길 25 1층 (구의동),생선회,
미로네분식,서울특별시 광진구 면목로 8 1층 (군자동),종합분식,
미림,서울특별시 광진구 자양로18길 11 (구의동),주택,
미미고 찹쌀꽈배기 광나루점,서울특별시 광진구 아차산로 591 1층 102호(광장동),베이커리,미미고 꽈배기: 미미고 꽈배기; 미미고 꽈배기 3개: 미미고 꽈배기 3개; 카스테라 꽈배기: 카스테라 꽈배기; 팥 도너츠: 팥 도너츠; 고구마 도너츠: 고구마 도너츠; 찰도너츠: 찰도너츠; 흑미팥 찰도너츠: 흑미팥 찰도너츠; 핫도그(불고기/매콤): 핫도그(불고기/매콤); 야채고로케: 야채 고로케; 치즈볼: 치즈볼; 생도너츠: 생도너츠; 미니붕어빵(5개): 미니붕어빵(5개); 아메리카노: 아메리카노; 아메리카노(ice): 아메리카노(ice); 미미고 식혜: 미미고 식혜
미미고찹쌀꽈배기 광나루직영점,서울특별시 광진구 아차산로 591 1층 102호,,
미미전병,서울특별시 광진구 뚝섬로27길 55 1층 103호 (자양동),중식당,"찌엔빙(전병과자): 6,000원; 지단관병: 6,000원; 카오냉면: 6,000원; 지리우: 6,000원; 쟈스단: 6,000원; 쟈또푸쭈안: 6,000원"
미미타코야끼,서울특별시 광진구 광나루로24길 29 1층(화양동),일식당,
미분당,서울특별시 광진구 군자로3길 27 1층 (화양동),베트남음식,"차돌박이 쌀국수: 부드러운 차돌박이가 단독으로 올라간 진한 육수의 쌀국수 입니다.; 양지 쌀국수: 양지살이 단독으로 올라간 진한 육수의 쌀국수 입니다.; 차돌양지 쌀국수: 부드러운 차돌박이와 양지살이 올라간 진한 육수의 쌀국수 입니다.; 차돌양지힘줄 쌀국수: 부드러운 차돌박이, 양지, 쫀득한 힘줄이 차례로 올라간 미분당 인기메뉴 입니다.; 힘줄 쌀국수: 쫀득한 힘줄을 단독으로 즐기실 수 있는 쌀국수 메뉴 입니다.; 모듬전식: 미분당의 모든 사이드로 구성된 튀김 세트 입니다.; 고구마 짜조: 달달한 고구마 무스가 꽉 차있는 미분당 사이드 짜조 입니다.; 새우롤: 고소한 새우가 바삭한 식감으로 튀겨진 미분당 사이드 메뉴입니다.; 웨딩쇼마이: 한 입에 먹기 좋은 크기의 미분당 사이드 메뉴 입니다.; 버팔로 윙: 노릇하고 바삭하게 구워진 버팔로 윙으로 미분당 쌀국수와 함께 먹기 좋습니다.; 감자말이새우: 촉촉한 새우를 바삭한 감자롤이 감싸 겉바속촉이 완벽한 튀김 메뉴입니다.; 하노이맥주: 6,500원; 사이공맥주: 6,500원; 타이거맥주: 6,500원; 사이다: 2,500원"
미쁨,서울특별시 광진구 자양로28길 11 1층(구의동),기타,
미사리밀빛초계국수건대점,서울특별시 광진구 아차산로 312 1층 (자양동),국수,"초계국수: 10,000원; 비빔국수: 10,000원; 닭반마리칼국수(온면): 10,000원; 들깨칼국수(온면): 10,000원; 육계장칼국수(온면): 10,000원; 매생이굴칼국수(온면)동절기: 10,000원; 도토리묵밥: 9,000원; 도토리해물파전: 17,000원; 도토리전병: 13,000원; 메밀왕만두: 6,000원; 소주,맥주,막걸리: 5,000원; 복분자: 13,000원; 콜라, 사이다: 2,000원; 국수사리추가: 2,000원"
미선미식당,서울특별시 광진구 뚝섬로27길 65 1층 (자양동),,
미선사천마라탕,서울특별시 광진구 동일로18길 78 성동속셈 (자양동),중식당,"마파두부: 6,000원; 홍사삼겹살: 10,000원; 뼈조림: 10,000원"
미소감자탕,서울특별시 광진구 천호대로 576 1층 (능동),감자탕,
미소야,서울특별시 광진구 구의강변로 106 101동 B102호 (구의동 삼성쉐르빌),돈가스,"로스카츠: 10,000원; 히레카츠: 11,000원; 치즈돈카츠: 11,500원; 생선카츠: 10,000원; 돈카츠명란특선정식: 14,500원; 스페셜카츠정식: 13,500원; 옛날식 달콤한 로스카츠: 11,000원; 매콤로스카츠: 11,000원; 매콤치즈카츠: 12,500원; 고구마 치즈 돈카츠: 11,500원; 통치즈카츠: 12,500원; 매운철판돈카츠: 11,000원; 돈카츠김치우동전골: 10,000원; 우삼겹우동전골: 10,000원; 카츠모밀 알밥정식: 11,000원"
미스사이공 세종대점,서울특별시 광진구 능동로 209 세종대학교 학생회관 1층 (군자동),베트남음식,
미스사이공건대점,서울특별시 광진구 능동로11길 8-13 지하1-지상3층,베트남음식,
미스코다리 미스터황태,서울특별시 광진구 능동로 246 1층,"해물,생선요리",
미스터 (mr.)짱닭치킨,서울특별시 광진구 자양번영로3길 7 1층,"치킨,닭강정",
미스터버거,서울특별시 광진구 아차산로49길 86 104호 (구의동),햄버거,
미스터빠삭,서울특별시 광진구 영화사로 37-1 1층,돈가스,"빠삭모듬정식: 안심돈까스(1p)+볼카츠(1p)+새우튀김(1p)+미니모밀or우동; 치즈모듬정식: 치즈돈까스(1p)+볼카츠(1p)+새우튀김(1p)+미니모밀or우동; 씨푸드모듬정식: 생선까스(2p)+새우튀김(2p)+미니모밀or우동; 왕돈까스: 부드러운 국내산 등심을 사용한 돈까스의 참 맛 왕돈까스; 매운왕돈까스: 매운맛의 끝판왕, 느끼함ZERO! 깔끔하게 매운 왕돈까스; 로스카츠: 육즙을 그대로 느낄 수 있는 국내산 통등심을 사용한 등심돈까스; 통안심카츠: 입속에서 살살 녹는 부드러운 국내산 안심; 모짜렐라 치즈카츠: 100%자연 치즈가 입안에서 녹아내리는 치즈돈까스의 끝판왕; 눈꽃치즈김치알밥정식: 눈처럼 내린 치즈와 함께 맛볼 수 있는 고소한 알밥; 직화낙지알밥정식: 매콤한 낙지볶음에 불맛을 더한 돌솥알밥; 돈까스회오리오므라이스: 눈으로 느끼고 맛으로 전하는 빠삭만의 회오리 오므라이스; 직화제육덮밥: 고추장 양념에 불맛을 더한 한국인이 가장 좋아하는 고기 덮밥; 돼지갈비덮밥(부타동): 달콤한 간장소스를 베이스로 한 일본식 고기 덮밥; 낙지덮밥: 태양초 고춧가루로 맛을 낸 매콤한 리얼 낙지덮밥; 제육직화유부: 취향 저격 불맛을 더한 매콤한 제육과 새콤한 유부의 조합!"
미스터손두부보쌈,서울특별시 광진구 아차산로 262 스타시티 지하1층 76,두부요리,"순두부 보쌈정식: 2인 이상; 순두부 모듬전골: 2인 이상; 해물 순두부: 10,500원; 만두 순두부: 10,500원; 소고기 순두부: 10,500원; 모듬 계란말이: 12,000원; 들깨 순두부: 10,500원; 김치 순두부: 10,500원; 곱창 순두부: 14,000원; 참치 순두부: 10,500원; 햄치즈순두부: 10,500원; 버섯순두부: 12,000원; 어묵순두부: 10,500원"
옥이네국밥,서울특별시 광진구 능동로49길 19 1층(중곡동),국밥,돼지국밥: 국내산 사골로 직접 우린 깔끔한 국물에 살코기가 듬뿍 들어간 옥이네 대표 메뉴; 순대국밥: 쫄깃한 순대와 살코기가 듬뿍 들어간 담백한 순대국밥; 순대버섯전골: 순대/고기/버섯/야채가 듬뿍 들어간 얼큰한 전골. 술안주로 제격!; 술국: 살코기/오소리감투/순대가 들어간 칼칼~한 국물 메뉴; 수육 (소): 국내산 돼지고기를 부드럽게 삶아낸 수육; 수육 (대): 국내산 돼지고기를 부드럽게 삶아낸 수육; 접시순대: 쫄깃한 찰순대 / 야채로 속이 꽉 찬 토종순대 2가지 메뉴
미각,서울특별시 광진구 능동로13길 117 1층,양꼬치,"마라양꼬치 1인분(10개): 일반 생양꼬치에 비해 액긴 매운맛 얼얼한맛. 냉동 아닌 냉장된 호주산 청정 양고기를 사용하여 신선한 재료에서 나오는 기본적 담백함과 깔끔함을 베이스로 부드러운 식감을 즐기보세요~; 양꼬치 1인분(10개): 다른 양꼬치집들과 달리 냉동이 아닌 냉장된 호주산 청정 양고기를 사용하여 신선한 재료에서 나오는 기본적인 담백함과 깔끔함을 베이스로 부드러운 식감을 즐기실 수 있습니다.; 마라탕 100g: 국물류가 땡길때는 마라탕! 중국본토의 맛 그대로! 미각 유일 유명 프랜차이즈 ""하이디라오"" 마라탕 소스를 사용. 푸짐한 양과 알찬 재료들! 매운맛인데 자꾸 먹고 싶어지는 이맛은뭐지; 마라향궈(마라샹궈) 100g: 북경요리사 손세프의 업그레이드된 맛의 마라샹궈; 양갈비살 1인분(10개): 선홍빛 색감만 봐도 느껴지는 신선함 - 신선한 냉장 양갈비로 잡내 전혀 없이 숫향이 밴 고기맛을 제대로 느끼실 수 있습니다. 더욱 꼬들하면서 고소합니다. 맥주와도 잘 어울립니다.; 무한리필 훠궈 1인당: 안양역, 안양일번가 주변애소 유일하게 무한리필로 훠궈 드리고 있습니다. 업그레이드된 맛!; 꿔바로우 小: 꿀맛탱 겉바속촉 꿔바로우 추천메뉴; 꿔바로우 大: 북경 10년 세프의 겉바속촉 꿔바로우!; 고급양갈비 2인분(±500g): 호주산 청정 냉장 양고기만을 사용! 상급 고기품질 양갈비~; 가지볶음: 가지에 대한 편견이 싹 사라지는 가지볶음!! 정녕 내가 왜 이 가지볶음을 몰랐단 말인가!! 다른데서는 맛볼 수 없는 가지볶음입니다. 묘한 겉바속촉!! 바삭함이 솰아있는 베스트요리!; 지삼선: 신선한 가지와 감자와 피망 - 땅에서 자라는 세가지 ""지삼선(따싼시엔)"" 요리입니다. 가지볶음과 양대산맥이라 할 수 있는 최고의 요리 최고의 맛을 자랑합니다.; 우육면 (수타) new: 손세프의 기획메뉴 수타 우육면 ※ 사진은 참고용입니다. 촬영되는데로 실물을 올리겠습니다.; 마라양갈비살 1인분(10개): 매운 소스가 발라져 있지만 맵지 않은 맛있는 꿀맛! 마라~양~갈~비~살!; 무한리필 훠궈 초등학생: 안양역, 안양일번가 주변애소 유일하게 무한리필로 훠궈 드리고 있습니다. 업그레이드된 맛!; 궈보러우 中: 다른곳에서는 맛볼 수 없는 꿔바로우 - 더욱 겉바속촉한 맛!!"
미각의발견,서울특별시 광진구 자양로50길 37 1층,"육류,고기요리",한우특수부위: 한우 암소 특수부위
미건테이블,서울특별시 광진구 동일로 260 6층,한식,"프리미엄 특선 (1人당): 특선밥상 구성에 구절판,갈비찜,계절 요리가 추가된 상견례/칠순/팔순 잔치를 위한 상차림!; 특선밥상(1人당): 미건테이블의 시그니처 메뉴, 명인이 선보이는 영양 꽉 찬 조화로운 건강 밥상"
미니스톱 대공원구의문점,서울특별시 광진구 능동로 216 1층,,
미니스톱 어린이대공원점,서울특별시 광진구 능동로 216 1층,,
미니스톱 중곡빌리지점,서울특별시 광진구 용마산로30길 32 1층 (중곡동),,
